,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
2345,සේවාදායකයෙකු මාගෙන් බලාපොරොත්තු වන බව මට පැවසිය හැකි විට මම තුවක්කුවක් පැළඳ සිටිමි. ඒ හැරෙන්නට කිසිදා හේතුවක් නැත.,හුදෙක් කුතුහලයෙන්.
2346,"මේ සේප්පුවේ සංයෝගය තිබුණේ මගේ සැමියා පමණයි. මම ඒ ගැන දැනගෙන හිටියා, නමුත් මම සැලකිලිමත් වන පරිදි එය මගේ කාර්යයක් නොවේ. මේ දක්වා නොවේ, එනම්.",ඔබ එය විවෘත කිරීමට කෙනෙකු කුලියට ගත්තා. මම ඔට්ටු අල්ලනවා ලෝයර් ඒකට ආසයි කියලා.
2347,ඔබ එය විවෘත කිරීමට කෙනෙකු කුලියට ගත්තා. මම ඔට්ටු අල්ලනවා ලෝයර් ඒකට ආසයි කියලා.,ඔහුට කළ හැකි කිසිවක් නොවීය. මගේ මහත්තයා මට හැමදේම දාලා ගියා. මම කිසිවකුට අන්තර්ගතය බැලීම වැළැක්වූවෙමි. මේවා මගේ සැමියාගේ පෞද්ගලික දේවල් කියලා මට දැනුණා. මම නෑ... මට තේරුනේ නෑ...
2348,ඔහුට කළ හැකි කිසිවක් නොවීය. මගේ මහත්තයා මට හැමදේම දාලා ගියා. මම කිසිවකුට අන්තර්ගතය බැලීම වැළැක්වූවෙමි. මේවා මගේ සැමියාගේ පෞද්ගලික දේවල් කියලා මට දැනුණා. මම නෑ... මට තේරුනේ නෑ...,ඔබ සොයාගත් දේ මට කියන්න අවශ්‍යද?
2349,ඔබ සොයාගත් දේ මට කියන්න අවශ්‍යද?,"මුදල්, කොටස් සහතික, සහ මේ..."
2350,ඒක ෆිල්ම් එකක්... කෙල්ලෙක්ව මරලා දානවා.,මට බයයි මම එහෙම කරන්නේ නෑ කියලා...
2351,මට බයයි මම එහෙම කරන්නේ නෑ කියලා...,"මෙය ගැහැණු ළමයෙකු ඝාතනය කරන ආකාරය දැක්වෙන චිත්‍රපටයකි. ඇය ඇඳක් මත වාඩි වී සිටින අතර, මිනිසෙකු ඇයව දූෂණය කරයි ... ඔහු පිහියකින් ඇයව කපන්නට පටන් ගනී ... මම බලා සිටියේ මට කළ හැකි දේ පමණි."
2352,මොනවා හිතන්නද කියලා මම දැනගෙන හිටියේ නැහැ. මේක මගේ මහත්තයාගේ කියලා දැනගන්න එක කොච්චර භයානක දෙයක්ද කියලා මට කියන්න බෑ. මෙයා මේ... මේ සාහසිකත්වය බැලුවා කියලා දැනගන්න. ඒත් මට පොලිසියට යන්න බෑ...,"ක්‍රිස්ටියන් නෝනා... කරුණාකර ඔබ මොහොතක් වාඩි වෙනවද? මට අවශ්‍ය ඔබ හොඳින් සවන් දීමටයි. ඔබ කතා කරන්නේ ""ස්නාෆ් ෆිල්ම්"" ගැන ය. නමුත්, මම දන්නා පරිදි, ස්නාෆ් චිත්‍රපට යනු එක්තරා ආකාරයක ... නාගරික මිථ්‍යාවකි. රතු එළි දිස්ත්‍රික් ජනප්‍රවාද වගේ. එවැන්නක් නැත, මට ඔබට සහතික විය හැකිය."
2353,"කරුණාකර මාව විශ්වාස කරන්න. මේක සමහර විට ස්ටැග් ෆිල්ම් එකක් වෙන්න ඇති. අනුකරණය කළ දූෂණය. බඩට අමාරුයි, සහ එය සැබෑවක් ලෙස පෙනුනත්, එය යථාර්තවාදී පෙනුමක් ඇති කිරීමට ක්‍රම තිබේ... ව්‍යාජ ලේ සහ විශේෂ ප්‍රයෝග...",නැත.
2354,නැත.,ඔබ එය අධ්‍යයනය කළහොත් ඔබට පෙනෙනු ඇත්තේ කැමරාව කපා ඉවත් කරන ආකාරයයි... ඔවුන්ට කළ හැකි උපක්‍රම ඔබට පෙනෙනු ඇත.
2355,ඔබ එය අධ්‍යයනය කළහොත් ඔබට පෙනෙනු ඇත්තේ කැමරාව කපා ඉවත් කරන ආකාරයයි... ඔවුන්ට කළ හැකි උපක්‍රම ඔබට පෙනෙනු ඇත.,මම ඔබට කියන්නේ එය එසේ නොවන බවයි.
2356,මම ඔබට කියන්නේ එය එසේ නොවන බවයි.,එය බව මට විශ්වාසයි. එය ඔබේ සැමියාට නරක විහිළුවක් ලෙස දුන් දෙයක් විය හැකිය. බොහෝ දුරට ඔහු එය නරඹා නැත.
2357,එය බව මට විශ්වාසයි. එය ඔබේ සැමියාට නරක විහිළුවක් ලෙස දුන් දෙයක් විය හැකිය. බොහෝ දුරට ඔහු එය නරඹා නැත.,ඔබ එය නරඹා ඔබම දකිනවාද?
2358,ඔබ එය නරඹා ඔබම දකිනවාද?,"ඇත්ත වශයෙන්. නමුත්, මට විශ්වාසයි ඒ ගැන කරදර වෙන්න දෙයක් නැහැ කියලා."
2359,ඔයා... පොලිසියට යන්න ඕන.,"මම ඔයාට කිව්වා මට බෑ, තවම නැහැ."
2360,"මම ඔයාට කිව්වා මට බෑ, තවම නැහැ.",ඔබට වෙනත් විකල්පයක් නැත.
2361,ඔබට වෙනත් විකල්පයක් නැත.,නෑ මට මගේ මහත්තයාගේ නම විනාස කරගෙන ජීවත් වෙන්න නම් මම දැනගන්න ඕනේ මේක කරපු කෙනාට දඬුවම් ලැබෙන බව. එයාලව හොයාගන්න පුළුවන් නම් මම ඒ අයගේ නම් පොලිසියට ගෙනියනවා. මම කියන්නම් මගේ සැමියා මරණ මංචකයේදී පාපොච්චාරණය කළා. මම කියන්නම් මට මුලින් ඉදිරියට එන්න ධෛර්යයක් තිබුණේ නැහැ ...
2362,නෑ මට මගේ මහත්තයාගේ නම විනාස කරගෙන ජීවත් වෙන්න නම් මම දැනගන්න ඕනේ මේක කරපු කෙනාට දඬුවම් ලැබෙන බව. එයාලව හොයාගන්න පුළුවන් නම් මම ඒ අයගේ නම් පොලිසියට ගෙනියනවා. මම කියන්නම් මගේ සැමියා මරණ මංචකයේදී පාපොච්චාරණය කළා. මම කියන්නම් මට මුලින් ඉදිරියට එන්න ධෛර්යයක් තිබුණේ නැහැ ...,එහෙම වැඩක් වෙන්නේ නැහැ.
2363,එහෙම වැඩක් වෙන්නේ නැහැ.,"ඔබ එකතු කරන ඕනෑම සාක්ෂියක් පසුව නිර්නාමිකව පොලිසියට ලබා දිය හැකිය. මම ඒ ගැන සිතුවෙමි, වෙනත් මාර්ගයක් නැත. එයාලව හොයාගන්න බැරි උනොත්... මේ ෆිල්ම් එකෙන් එන එකම දේ මගේ මහත්තයව මතක් වෙන එක විතරයි නම් මට එහෙම වෙන්න දෙන්න බෑ. මම ඔයාට කියනවා මම කරන්නේ නැහැ කියලා. දුප්පත් දැරියගේ මතකය සේවය කිරීමට අවස්ථාවක් නොමැති නම්, මට ඇයව අමතක කිරීමට මගේ අවසාන කාලය ගත කිරීමට සිදුවනු ඇත."
2364,මම දික්කසාද නඩු වලට මුහුණ දෙනවා. ආයතනික විමර්ශන...,ඔබ මීට පෙර අතුරුදහන් වූවන් සොයාගෙන ඇත.
2365,ඔබ මීට පෙර අතුරුදහන් වූවන් සොයාගෙන ඇත.,මෙවන් දුරස්ථ කිසිවක් නැත.
2366,මෙවන් දුරස්ථ කිසිවක් නැත.,"මම අහන දේ මම දන්නවා. ඔබේ වන්දිය අවදානමට සුදුසු වනු ඇත. ඔබට තොරතුරු මිලදී ගැනීමට මුදල් අවශ්‍ය වනු ඇත, මම එය ලබා දෙන්නම්. මට වගකීමක් දැනෙනවා, වෙල්ස් මහත්මයා. ඔහු ඇයට කළ දේ ඔබ දුටුවා."
2367,හරි හරී...,"මගේ ස්වාමිපුරුෂයා කිසි විටෙකත් මුදල් සමඟ පෞද්ගලිකව ගනුදෙනු කළේ නැත, නිසැකවම මුදල් නොවේ."
2368,"මගේ ස්වාමිපුරුෂයා කිසි විටෙකත් මුදල් සමඟ පෞද්ගලිකව ගනුදෙනු කළේ නැත, නිසැකවම මුදල් නොවේ.","මම ධනාත්මක නැහැ, මෙයින් අදහස් කරන්නේ කිසිවක් නොවේ."
2369,"මම ධනාත්මක නැහැ, මෙයින් අදහස් කරන්නේ කිසිවක් නොවේ.",චෙක්පත් ඔත්තේ මුදල් සඳහා ...
2370,එකක් ලක්ෂ දෙකයි ඩොලර් එකයි ශත දහතුනයි. තවත් එකක් ඩොලර් ලක්ෂ හයසිය පනස් හතරයි ශත හැත්තෑ හයකට...,"හරි, මම මෙතෙක් ඔබ අනුගමනය කරනවා ..."
2371,"හරි, මම මෙතෙක් ඔබ අනුගමනය කරනවා ...","විවිධ ගිණුම් පහකින් මෙම චෙක්පත් පහ එකතු කර ගත් විට, ඒවා ඩොලර් මිලියනයකට සමාන වේ."
2372,"විවිධ ගිණුම් පහකින් මෙම චෙක්පත් පහ එකතු කර ගත් විට, ඒවා ඩොලර් මිලියනයකට සමාන වේ.",ඔයා විහිළු කරනවා.
2373,ඔයා විහිළු කරනවා.,සතයට. හරියටම ඩොලර් මිලියනයක් මුදල්.
2374,ආයුබෝවන්... ?,මම මෙහේ.
2375,මම මෙහේ.,ඔබ හිතනවද චිත්‍රපටියට එච්චර වියදම් කරන්න තිබුණා කියලා?
2376,ඔබ හිතනවද චිත්‍රපටියට එච්චර වියදම් කරන්න තිබුණා කියලා?,"මිනිස් ජීවිතයක් සඳහා... සිනමාව මත මිනීමැරුමක්, සීමාවන් පිළිබඳ නීතියක් නැත. කව්ද දන්නේ? එය නිසැකවම තිබිය හැකිය. මම කැමතියි ඔබ එක රැයකින් මට එම චෙක්පත්වල පිටපතක් ලබා දෙන්න, ඉන්පසු ඒවා ආරක්ෂිත තැන්පතු පෙට්ටියක තබන්න."
2377,"මිනිස් ජීවිතයක් සඳහා... සිනමාව මත මිනීමැරුමක්, සීමාවන් පිළිබඳ නීතියක් නැත. කව්ද දන්නේ? එය නිසැකවම තිබිය හැකිය. මම කැමතියි ඔබ එක රැයකින් මට එම චෙක්පත්වල පිටපතක් ලබා දෙන්න, ඉන්පසු ඒවා ආරක්ෂිත තැන්පතු පෙට්ටියක තබන්න.",හරි හරී.
2378,හරි හරී.,අපි ලෑස්ති කරපු විදියට තැපැල් කන්තෝරුව හරහා මට එවන්න. ආපසු ලිපිනයක් නැත. ඔබ මේ සියල්ල තනිවම හාරා ගත්තද?
2379,අපි ලෑස්ති කරපු විදියට තැපැල් කන්තෝරුව හරහා මට එවන්න. ආපසු ලිපිනයක් නැත. ඔබ මේ සියල්ල තනිවම හාරා ගත්තද?,ඔයා මට බලන්න කිව්ව නිසා මම බැලුවා.
2380,ඔයා මට බලන්න කිව්ව නිසා මම බැලුවා.,"ක්‍රිස්ටියන් මහත්මිය, ඔබ රහස් පරීක්ෂකයෙක්."
2381,ආයුබෝවන්?,"ක්‍රිස්ටියන් මහත්මිය, ටොම් වෙල්ස් මෙහි."
2382,"ක්‍රිස්ටියන් මහත්මිය, ටොම් වෙල්ස් මෙහි.",ඔයාට කොහොම ද? යම් වාසනාවක් තිබේද?
2383,ඔයාට කොහොම ද? යම් වාසනාවක් තිබේද?,වාසනාව කියන වචනය නම් මම දන්නේ නැහැ. ඔබට හොඳින් දැනෙනවාද?
2384,වාසනාව කියන වචනය නම් මම දන්නේ නැහැ. ඔබට හොඳින් දැනෙනවාද?,"මට ඇඳට යාමට නියෝග කර ඇත. ඩොක්ටර් කියනවා මට උණ හැදිලා තියෙනවා, එහෙමත් නැත්නම් වෙනත් කාලකණ්ණි ලෙඩක් තියෙනවා කියලා."
2385,"මට ඇඳට යාමට නියෝග කර ඇත. ඩොක්ටර් කියනවා මට උණ හැදිලා තියෙනවා, එහෙමත් නැත්නම් වෙනත් කාලකණ්ණි ලෙඩක් තියෙනවා කියලා.",එය බරපතල කිසිවක් නොවේ යැයි මම බලාපොරොත්තු වෙමි.
2386,එය බරපතල කිසිවක් නොවේ යැයි මම බලාපොරොත්තු වෙමි.,කරදරයකට වඩා දෙයක් නැත. ඔබට මා ගැන ආරංචියක් තිබේද?
2387,කරදරයකට වඩා දෙයක් නැත. ඔබට මා ගැන ආරංචියක් තිබේද?,"මම දියුණුවක් ලබා තිබෙනවා. මම ඉන්නේ මෑන්හැටන් වල. තවත් කෑලි කිහිපයක් වැටුණු පසු, මම ඔබ වෙත ගෙන ගොස් ඔබට යාවත්කාලීනයක් ලබා දෙන්නෙමි."
2388,"මම දියුණුවක් ලබා තිබෙනවා. මම ඉන්නේ මෑන්හැටන් වල. තවත් කෑලි කිහිපයක් වැටුණු පසු, මම ඔබ වෙත ගෙන ගොස් ඔබට යාවත්කාලීනයක් ලබා දෙන්නෙමි.",හොඳයි...
2389,"මට මුදල් වශයෙන් පන්දහසක් පමණ ඉතිරිව ඇත, නමුත් ඔබ අනුමත කරන්නේ නම් මට තවත් තිහක් අවශ්‍ය වේ.",මම එය ඔබට ලබා ගන්නේ කෙසේද?
2390,මම එය ඔබට ලබා ගන්නේ කෙසේද?,"පැන්සලක් සහ කඩදාසියක් ඇත්නම්, එය යවන ආකාරය මම ඔබට කියමි."
2391,ඔව්... ?,"හලෝ මැතිව්ස් මහත්මිය, මගේ නම තෝමස් ජෝන්ස්, මම රාජ්‍ය බලපත්‍රලාභී විමර්ශකයෙක්..."
2392,"අභ්‍යන්තර විගණනයක කොටසක් ලෙස අතුරුදහන් වූවන් සඳහා වූ එක්සත් ජනපද සම්පත් මධ්‍යස්ථානය විසින් මා ස්වාධීන කොන්ත්‍රාත්කරුවෙකු ලෙස කුලියට ගෙන ඇත. ඉදිරි දින කිහිපය තුළ ඔබට යම් වේලාවක් තිබේ නම්, ඔබේ දියණියගේ අතුරුදහන් වීම ගැන ප්‍රශ්න කිහිපයක් ඇසීමට මම වේලාවක් වෙන් කර ගැනීමට කැමැත්තෙමි.","මට තේරෙන්නේ නැහැ, කවුද ... ?"
2393,"මට තේරෙන්නේ නැහැ, කවුද ... ?","මට කණගාටුයි, මට පැහැදිලි කිරීමට ඉඩ දෙන්න, RCMP යනු වොෂින්ටනයේ අතුරුදහන් වූ සහ සූරාකෑමට ලක් වූ ළමුන් සඳහා වූ මධ්‍යස්ථානය මෙන් නොව ආධාරක සංවිධානයක් සහ ලේඛනාගාරයකි. ඔබ මීට පෙර ඔවුන් සමඟ කටයුතු කර ඇති බව මට විශ්වාසද?"
2394,"මට කණගාටුයි, මට පැහැදිලි කිරීමට ඉඩ දෙන්න, RCMP යනු වොෂින්ටනයේ අතුරුදහන් වූ සහ සූරාකෑමට ලක් වූ ළමුන් සඳහා වූ මධ්‍යස්ථානය මෙන් නොව ආධාරක සංවිධානයක් සහ ලේඛනාගාරයකි. ඔබ මීට පෙර ඔවුන් සමඟ කටයුතු කර ඇති බව මට විශ්වාසද?",ඔව් නමුත්...
2395,ඔව් නමුත්...,"මෙම ස්වේච්ඡා සංවිධාන නීතිය බලාත්මක කිරීම සමඟ අත්වැල් බැඳගෙන ක්‍රියාත්මක වන ආකාරයේ අන්තර් සම්බන්ධිත වේ. ඔවුන්ගේ විමර්ශන සමාලෝචනය කිරීමට RCMP මාව ගෙනාවා... ... ඔවුන්ගේ වාර්තා සත්‍ය-පරීක්ෂා කරන්න, ඔවුන්ට මග හැරුණු දෙයක් තිබේදැයි බලන්න, ඔවුන් වෙනස් කළ යුතු ඕනෑම දෙයක්. මම නැවත වර්ජිනියා වෙත යාමට පෙර දින කිහිපයක් මෙහි සිටිමි. මෙම වාර්තා අවසානයේ අධිකරණ දෙපාර්තමේන්තුවට යයි. මම දින කිහිපයකට පෙර ඔබේ FBI සම්බන්ධතාවට කතා කළා, අහ්..."
2396,මොකක්ද නම කිව්වේ...? මම ඒක මෙතන කොහේ හරි තියෙනවා...,නීල්... නීල් කෝල්.
2397,නීල්... නීල් කෝල්.,"හරි, නියෝජිත කෝල් මට කිව්වා ඔහු කතා කරලා මාව බලාපොරොත්තු වෙන්න කියලා ඔයාට දන්වන්න කියලා. ඔහු ඇමතුවේ නැද්ද?"
2398,"හරි, නියෝජිත කෝල් මට කිව්වා ඔහු කතා කරලා මාව බලාපොරොත්තු වෙන්න කියලා ඔයාට දන්වන්න කියලා. ඔහු ඇමතුවේ නැද්ද?",නැත.
2399,නැත.,"හොඳයි, මම ඔබේ දුව, මේරි, උස ගැන අනුගමනය කරනවා; පහ හතර, බර; රාත්තල් සිය දහය, දුඹුරු ඇස්, දුඹුරු හිසකෙස්. උපත 1976 අප්‍රේල් 24. අතුරුදහන් 1992 ජූනි 11. පලා ගිය කෙනෙක්, ඇය ලැයිස්තුගත කර ඇති ආකාරයයි. මෙම තොරතුරු නිවැරදිද...?"
2400,"මෙය ඔබගේ අපේක්ෂාවන් ඉහළ නැංවීමට ඉඩ නොදීම ඉතා වැදගත් වේ. එය අඛණ්ඩ උත්සාහයකට බලපාන්නේ නැත. මම කියන්නේ, කරුණාකර දැනගන්න, මම මෙහි පැමිණියේ බොරු බලාපොරොත්තුවක් ඇති කර ගැනීමට නොවේ.",ඔවුන් ඔබව කුලියට ගත්තා. ඔයා පුද්ගලික රහස් පරීක්ෂකයෙක් වගේද?
2401,ඔවුන් ඔබව කුලියට ගත්තා. ඔයා පුද්ගලික රහස් පරීක්ෂකයෙක් වගේද?,ඒක තමයි මම හරියටම.
2402,ටීවී එකේ ඇරෙන්න පුද්ගලික රහස් පරීක්ෂකයෝ ඉන්නවා කියලා මම හිතුවේ නැහැ.,"ඔබ මා ට්‍රෙන්ච් කෝට් එකක් සහ තොප්පියක් පැළඳ සිටිනු ඇතැයි ඔබ අපේක්ෂා කරයි. විස්කි බොනවා, ගෑනු පස්සෙන් පන්නනවා, නහය කැඩුන කොල්ලන්ගෙන් ගුටි කනවා. එය සැබවින්ම කෙබඳුදැයි දැන ගැනීමට අවශ්‍යද? එය කාර් එකක වාඩි වී දින තුනක් එක දිගට හෝටල් ජනේලයක් දෙස බලා සිටී, ප්ලාස්ටික් බෝතලයක් තුළ පිස්සෝ, මට සමාවෙන්න, මන්ද සමහර පිරිමි ළමයෙකු සිතන්නේ තම බිරිඳ තමාව රවටා ඇති බවයි. ආකර්ෂණීය, හාහ්? ඔබව කුලියට ගත් පුද්ගලයා, ඔහුට හිසකෙස්-තොල්, හිසේ කැක්කුම සහ දත් ඇති අතර, ඔබ ඔහුගේ බිරිඳගේ වංචාව ඔහු දෙස බැලූ මොහොතේම ඔහුට පැවසිය හැකි අතර ඔබ ඇයට දොස් නොකියන්න."
2403,"ඉතින්, ඇය සටහනක් තැබුවේ නැද්ද? ඇය පිටත්ව යාමට පෙර, ඇය යා හැකි ස්ථානයට කිසිදු ඇඟවීමක් ලබා දුන්නේ නැත?",නැත.
2404,නැත.,ඇය නිකමට වගේ... මානසිකව වැටිලා වගේ... ?
2405,ඇය නිකමට වගේ... මානසිකව වැටිලා වගේ... ?,ඇය තමා ලෙස පෙනුනේ නැත. මාස ගාණක් යනකම්ම ඒ ගැන කතා කරන්න කිසිම විදිහක් ඇයට තිබුණේ නැහැ. දවසක් රෑ අපි නිදාගන්න ගියා... පහුවදා උදේ එයා ගියා. ඇය ඇඳුම් කිහිපයක් ගත්තාය.
2406,ඇය තමා ලෙස පෙනුනේ නැත. මාස ගාණක් යනකම්ම ඒ ගැන කතා කරන්න කිසිම විදිහක් ඇයට තිබුණේ නැහැ. දවසක් රෑ අපි නිදාගන්න ගියා... පහුවදා උදේ එයා ගියා. ඇය ඇඳුම් කිහිපයක් ගත්තාය.,ඇය දුවන්නේ කුමක් ද?
2407,ඇය දුවන්නේ කුමක් ද?,මම දන්නේ නැහැ.
2408,මම දන්නේ නැහැ.,"ඔබට කතා කිරීමට අපහසු දෙයක් ඇත්නම්, මට කියන්න, නමුත් මට ඇසීමට සිදුවේ. ඔබේ සැමියා... ඔහු සියදිවි නසා ගත්තාද?"
2409,"ඔබට කතා කිරීමට අපහසු දෙයක් ඇත්නම්, මට කියන්න, නමුත් මට ඇසීමට සිදුවේ. ඔබේ සැමියා... ඔහු සියදිවි නසා ගත්තාද?",ඔව්.
2410,ඔව්.,"සැප්තැම්බර් 4, 1993. මේරි අතුරුදහන් වී වසරකට පමණ පසු."
2411,"සැප්තැම්බර් 4, 1993. මේරි අතුරුදහන් වී වසරකට පමණ පසු.",ඒ වෙනකොට අපි දික්කසාද වෙලා හිටියේ. දේවල් කඩා වැටුණා ... ඔහු මිතුරෙකු සමඟ ජීවත් විය ...
2412,ඒ වෙනකොට අපි දික්කසාද වෙලා හිටියේ. දේවල් කඩා වැටුණා ... ඔහු මිතුරෙකු සමඟ ජීවත් විය ...,ඔබ සිතන්නේ ඔහු එය කළේ ඇයි?
2413,ඔබ සිතන්නේ ඔහු එය කළේ ඇයි?,එය ඔහුට ඕනෑවට වඩා විය යුතුය.
2414,එය ඔහුට ඕනෑවට වඩා විය යුතුය.,"ඔබ මට සමාව දිය යුතුය, නමුත් මෙම තත්වයන් තුළ ... ඔබේ දියණිය සමඟ ... කිසියම් ආකාරයක අපයෝජනයක් පිළිබඳ ඇඟවීම් තිබේද?"
2415,"ඔබ මට සමාව දිය යුතුය, නමුත් මෙම තත්වයන් තුළ ... ඔබේ දියණිය සමඟ ... කිසියම් ආකාරයක අපයෝජනයක් පිළිබඳ ඇඟවීම් තිබේද?","එහෙම දෙයක් තිබුණේ නැහැ. පොලිසියයි FBI අයයි ඇහුවත් එහෙම දෙයක් වෙලා නෑ, කවදාවත්. මගේ ස්වාමිපුරුෂයා ... මේරි ගියාට පස්සේ ඔහුගේ හදවත කඩා වැටුණා ..."
2416,"එහෙම දෙයක් තිබුණේ නැහැ. පොලිසියයි FBI අයයි ඇහුවත් එහෙම දෙයක් වෙලා නෑ, කවදාවත්. මගේ ස්වාමිපුරුෂයා ... මේරි ගියාට පස්සේ ඔහුගේ හදවත කඩා වැටුණා ...",මම අදහස් කළේ නැහැ ...
2417,මම අදහස් කළේ නැහැ ...,"ඔබ අප කළ දේ හරහා යාමට උත්සාහ කරන්න. බොබ්ට එය දරාගත නොහැකි විය, එපමණයි. ක්‍රිස්තුතුමනි, මටත් බැහැ කියලා හිතෙන වෙලාවල් තියෙනවා."
2418,"ඔබ අප කළ දේ හරහා යාමට උත්සාහ කරන්න. බොබ්ට එය දරාගත නොහැකි විය, එපමණයි. ක්‍රිස්තුතුමනි, මටත් බැහැ කියලා හිතෙන වෙලාවල් තියෙනවා.",මට අහන්න තිබුණා. මම සමාව ඉල්ලනවා.
2419,මට අහන්න තිබුණා. මම සමාව ඉල්ලනවා.,ඒක මොන වගේද කියලා කවුරුත් දන්නේ නැහැ. කොච්චර රිදෙනවද කියලා හිතාගන්නවත් බෑ.
2420,ප්‍රවෘත්ති වලින් මිනිස්සුන්ට මාව මතකයි. ඔබට දැන් මාව ආපසු එලවන්න පුළුවන්ද?,ඇත්ත වශයෙන්.
2421,මම... මම තවත් ඔබේ කාලය ගත නොකළ යුතුයි. සමහරවිට හෙට ඉවර කරන්න පුළුවන්. මම හෙට කෝල් කරන්නම්...,හරි හරී.
2422,"වැඩි තේරුමක් නෑ නේද? සෑම දෙයක්ම සතුටින් පවතින විට, ජීවිතය යහපත් වූ විට සහ දෙවි කෙනෙකු සිටින බව විශ්වාස කිරීමට ඔබට සෑම හේතුවක්ම ඇති විට, ඔබ කරදර නොවන්න. එවිට, භයානක දෙයක් සිදු වේ ... ඔබ නිතරම යාච්ඤා කිරීමට පටන් ගන්නා විට. එතකොට තමයි පල්ලියට යන්න පටන් ගන්නේ.",අපි හැමෝම එහෙමයි.
2423,අපි හැමෝම එහෙමයි.,ඔබ ධාර්මිකද?
2424,ඔබ ධාර්මිකද?,නැත.
2425,නැත.,ඔබ විය යුතුයි.
2426,මගේ වාර්තාවට අවශ්‍ය දේ මා සතුව ඇත. තියෙනවා... ඒත් මට වද දෙන එක දෙයක් තියෙනවා.,කුමක් ද?
2427,කුමක් ද?,"ඇත්තටම ඒක මගේ තැනක් නෙවෙයි, ඒත් මට මගේ පුද්ගලික රහස් පරීක්ෂක කොටසත් පැත්තකට දාන එක ලේසි නෑ. බලන්න, අතුරුදහන් වූවන් ගැන මම ටිකක් දන්නවා. ළමයින් දුවන විට, ඔවුන් සෑම විටම පාහේ සටහනක් තබයි. ඒක වරදක්. ඔවුන්ට සමුගැනීමට අවශ්‍යයි."
2428,"ඇත්තටම ඒක මගේ තැනක් නෙවෙයි, ඒත් මට මගේ පුද්ගලික රහස් පරීක්ෂක කොටසත් පැත්තකට දාන එක ලේසි නෑ. බලන්න, අතුරුදහන් වූවන් ගැන මම ටිකක් දන්නවා. ළමයින් දුවන විට, ඔවුන් සෑම විටම පාහේ සටහනක් තබයි. ඒක වරදක්. ඔවුන්ට සමුගැනීමට අවශ්‍යයි.",එකක් තිබුණේ නැහැ. පොලිසිය බැලුවා.
2429,එකක් තිබුණේ නැහැ. පොලිසිය බැලුවා.,පොලිසිය හොඳ වැඩක් කළා කියලා හිතනවද?
2430,පොලිසිය හොඳ වැඩක් කළා කියලා හිතනවද?,මම දන්නේ නැහැ. මම එසේ සිතනවා.
2431,මම දන්නේ නැහැ. මම එසේ සිතනවා.,ඒක වෙන්න පුළුවන්... ඒ වගේම මම දන්නවා මේක ඔයාට අහන්න ඕන දෙයක් නෙවෙයි කියලා. ඔබේ දුව සටහනක් ඔබ අවසානයේ සොයාගනු ඇතැයි සිතූ නමුත් ඔබේ සැමියා එය කිසිදා සොයා නොගන්නා බව ඇය දැන සිටි තැන එය සැඟවීමට උත්සාහ කරන්න ඇති. ඇයට ඔබට යමක් පැවසීමට අවශ්‍ය වන්නට ඇත...
2432,ඒක වෙන්න පුළුවන්... ඒ වගේම මම දන්නවා මේක ඔයාට අහන්න ඕන දෙයක් නෙවෙයි කියලා. ඔබේ දුව සටහනක් ඔබ අවසානයේ සොයාගනු ඇතැයි සිතූ නමුත් ඔබේ සැමියා එය කිසිදා සොයා නොගන්නා බව ඇය දැන සිටි තැන එය සැඟවීමට උත්සාහ කරන්න ඇති. ඇයට ඔබට යමක් පැවසීමට අවශ්‍ය වන්නට ඇත...,නෑ ඔයාට එහෙම හිතන්න කිසිම හේතුවක් නෑ...
2433,නෑ ඔයාට එහෙම හිතන්න කිසිම හේතුවක් නෑ...,"පොලිසිය ඇගේ කාමරය, ඇගේ බඩු බාහිරාදිය සෙවීමට යොමු කළේ නම්, එය ස්වාභාවික දෙයක් විය හැකිය, නමුත් ඔවුන් වැරදි තැනක සොයන්නට ඇත."
2434,කොහොමද... ඔයා කොහොමද මට එහෙම කියන්නේ...?,මට බලන්න දෙන්නද?
2435,මට බලන්න දෙන්නද?,මගේ සැමියා කවදාවත් ඇයට අත තැබුවේ නැහැ. ඇය මට කියන්නට ඇත ... ඇය මට කියන්නට ඇත ...
2436,මගේ සැමියා කවදාවත් ඇයට අත තැබුවේ නැහැ. ඇය මට කියන්නට ඇත ... ඇය මට කියන්නට ඇත ...,"ඔබ බොහෝ විට නිවැරදි ය, මම බොහෝ විට කිසිවක් සොයා නොගනු ඇත. මට මේක අහන්න අයිතියක් නැහැ, ඔයාට ඕන නම් මාව ගෙදරින් එලවන්න පුළුවන්, නමුත් මේක මගේ වෘත්තිය, ඒකට යන්න දෙන්න බැරි කොටසක් මගෙන් ඉන්නවා. පොලිසිය ඔබ හෝ මම මෙන්ම මනුෂ්‍යයෙකි. ඔවුන්ට යමක් මග හැරෙන්නට ඉඩ තිබුණි. ඔවුන් බොහෝ විට එසේ නොකළේය. ඔබ දැන ගැනීමට කැමති නැද්ද?"
