,Question,Answer
1374,"Great, well, I'm happy for ya. Alright that's it. He just comes in here, Mr. Jonny Neweggs, with his, his, his movin' the mail and his, his 'see ya pals'. And now there's no juice. There's no juice f or the people who need the juice and want the juice. I need the juice.",There's another carton right over there.
1375,"Hey, this isn't about juice anymore, alright man.","Alright, so what's it about?"
1376,"Eggs. Who's eggs do you like better, his or mine, huh?",Well I like both eggs equally.
1377,Oh come on. Nobody likes two different kinds of eggs equally. You like one better than the other and I wanna know which.,"Well what's the difference? Your eggs aren't here anymore, are they? You took your eggs and you left. You really expect me to never find new eggs?"
1378,,"Hey Eddie, you uh, wanna play some foosball?"
1379,"No thanks man, I'm not uh, I'm not really into sports.","Yeah o-, OK, alright. Doesn't matter, time for Baywatch."
1380,"Y-, y-, you like that show?",You don't like that show?
1381,"Wha-, n-, no. I mean it's just a bunch of pretty people runnin' around on the beach, ya know.",Well that's the brilliance of it. The pretty people... and the running.
1382,"I tell ya, I-, I'm gonna go read in my room for a little while.","Oh o-, OK man."
1383,Chandler.,You're obviously not their favorite pet.
1384,"Well, I get the medical award for separating the siamese twins. Then Amber and I go to Venezuela to meet our other half-brother, Ramone. And that's where I find the world's biggest emerald. It's really big but it's cursed.",God that is good TV.
1385,,"Phoebs, play with meeee."
1386,"No. This game is grotesque. Twenty armless guys joined at the waist by a steel bar, forced to play soccer forever. Ahh, hello, human-rights violation.","Ya know Phoebs, don't feel so bad for 'em. After they're done playing, I break out the little plastic women and everybody has a pretty good time."
1387,Why don't you play with your roommate?,"Ah he's a, he's not a big fan of foosball."
1388,"Uh oh, ooh, are we not getting along with the new boy?","No he's, he's alright, just uh, he spends most of his time in his room."
1389,"Maybe that's because you haven't taken the time to get to know him. Let's remedy that, shall we?",We don't need to remedy that.
1390,"Oh good, ok. Oh nooo, I have to go because I'm late for my um, Green Eggs and Ham discussion group. Um tonight it's why he would not eat them on a train. Have fun bye.",That was so lame.
1391,"I know, yeah. Ok, talk to him.","So, you uh, you think that Speed Racer guy gets a lot of tickets er?"
1392,"That's good, that's good. So, so, so who broke up with who?",What're you kidding? I broke up with her. She actually thought that Sean Penn was the capital of Cambodia.
1393,"That's good man, when everybody knows that the uh, the capital of Cambodia is uh...",Well it's not Sean Penn.
1394,Hi.,Hi.
1395,I'm looking for Eddie Minowick.,"Oh, uh, he's not here right now, uh, I'm Chandler, can I take a message, or, or a fishtank?"
1396,Thanks.,"Oh, oh, c'mon in."
1397,I'm Tilly.,Oh.
1398,I gather by that oh that he told you about me.,"Oh yeah, your uh, name came up in a uh, conversation that terrified me to my very soul."
1399,He's kind of intense huh?,"Yes. Hey, can I ask you, is Eddie a little..."
1400,A little what?,Bit country? C'mon in here you roomie.
1401,Bye-bye.,Bye.
1402,Bye.,"So, we gettin' a fish?"
1403,,"Eddie, I didn't sleep with your ex-girlfriend."
1404,"That's very interesting, ya know, 'cause that's exactly what someone who slept with her would say.","This is nuts. This is crazy. She came over for like two minutes, dropped off a fish tank, and left, end of story."
1405,Where's Buddy?,Buddy?
1406,"My fish, Buddy.",There was no fish when she dropped it off.
1407,"Oh, this is, this is unbelievable. I mean, first you sleep with my ex-girlfriend then you insult my inteligenct by lying about it and then you kill my fish, my Buddy?",Hey I didn't kill your fish. Look Eddie... Would you look at what I'm doin' here. That can't be smart. So we're just gonna take this guy right off ya and put him here in Mr. Pocket. Tangellon?
1408,,"So, when I woke up this morning, he'd stolen all the insoles out of my shoes."
1409,Why?,Because he thinks I slept with his ex-girlfriend and killed his fish.
1410,Why would you kill his fish?,"Because sometimes, Phoebe after you sleep with someone, you have to kill the fish."
1411,Alright.,"Oh, I'm fine about my problem now, by the way."
1412,"Oh c'mon Joey, we care about you.",We're worried about you.
1413,"Listen, sorry about your death, that really sucks.",We came over as soon as we saw.
1414,"Um, I straightened out your shower curtain so you won't get mildew. What? To me that's nice.",It's gonna be ok. You know that?
1415,"No, I don't. It's like, ya know, you work your whole life for somethin' and you think that when you get it it's never gonna be as good as you thought it would be. But this so was. Ya know, it changed everything. Like the other day, I got this credit card application, and I was pre- approved. Huh? I've never been pre-approved for anything in my life.",I'm sorry man.
1416,,Uhhhaahh.
1417,"Pecan sandy, just made em.","Yeah alright. What're these, raisins?"
1418,"Uh, sure, why not.","Listen Eddie, um, I've been thinking about our current living situation and uh, why are you smiling?"
1419,"I got a little surprise, look. There's a new fishie. I named him uh, Chandler, you know, after, after you.","Well that's not an, even a real fish. No, that's a goldfish cracker."
1420,What's you point man?,"Ok, good night. You big freak of nature."
1421,,Hey Eddie. Daahh!! What're you doin' here?
1422,"Nothin' roomie, just watchin' you sleep.",Why?
1423,"Makes me feel um, peaceful, heh-heh, please.",I can't sleep now.
1424,You want me to sing?,"No, look, that's it, it's over, I want you out, I want you out of the apartment now."
1425,"Woah, woah, woah, what're, what're you talkin' about man.",Hannibal Lecter...better roommate than you.
1426,"No. See now I don't think you're being fair. I mean one night you see me and you get scared, I mean, what about all the other nights when you don't see me, huh? What about last night when you went and got a drink of water and I was nice enough to hide behind the door, what's that about, huh?",I didn't realize that.
1427,Yeah.,GET OUT NOW!!
1428,"Ok, you really want me out?",Yes please.
1429,"Ok, then I want to hear you say it, I, I want to hear you say you want me out.",I want you out.
1430,"No no no, I wanna hear it from your lips.",Where did you hear it from before?
1431,Hey pal.,Ahhhh-gaaaahhh. Eddie what're you still doin' here?
1432,"Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!","Look Eddie, aren't you forgetting anything?"
1433,"Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one.","Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now?"
1434,"Well, not unless it's got something to do with dehydrating my man because right now I'm a dehydrating maniac!",Look you have to help me out here. I thought we had a deal. I thought by the time...
1435,"Ah-ah-ah, you know what that is?",Your last roommate's kidney?
1436,,Daaahhhh!
1437,Aaahhhhhhh! Aaahhhh!,"Why must everybody watch me sleep? There'll be no more watching me sleep, no more watching."
1438,I wa-,Uuuh.
1439,"Hey man, check it out, I got some great stuff to dehydrate here. I got some grapes, got some apricots, I thought it would be really cool to see what happens with these water balloons.","Get out. Get out, get out, get out, get out, get out, get out."
1440,What?,"You, move out. Take your fruit, your stupid small fruit and GET OUT!"
1441,"You, you want, you want me to move out?",Uh-huh.
1442,"I uh, I gotta tell you man, I mean, that's uh, it's kinda out of the blue, I mean don't you think?","This is not out of the blue, this is smack dab in the middle of the blue."
1443,"Ohhhh. Relax, take it easy buddy. Tell me twice, you want me to go? Alright, alright, guess I'll be back for my stuff. But if you think for one second I'm leaving you alone with my fish, you're insane Jack!",You want some help.
1444,"Ok, let me take these cakes back 'cause they're gonna take that out of my paycheck.","Ding dong, the psycho's gone."
1445,Are you sure this time?,"Yes, yes I actually saw him leave. I mean that guy is standing in the window holding a human head. He is STANDING IN THE WINDOW HOLDING A HUMAN HEAD!"
1446,"So I got it in the junior miss department, big diff. Anyway check it out man, it's gonna make a hell of a conversation piece at out next cocktail party, huh pal?",Our next cocktail party?
1447,"Yeah, you know, put chips in it, we'll make like a chip chick.","Eddie, do you remember yesterday?"
1448,"Uh yes, I think I vaguely recall it.",Do you remember talking to me yesterday?
1449,"Uh, yes.",So what happened?
1450,We took a road trip to Las Vegas man.,Oh sweet Moses.
1451,,May I help you?
1452,Why doesn't my key work and what's all my stuff doin' downstairs?,"Well, I'm, I'm sorry... Ahhh. Have we met?"
1453,"It's Eddie you freak, your roommate.","I, I'm sorry, I uh I already have a roommate."
1454,Hello.,"Yeah, he's lived here for years, I don't, I don't know what you're talking about man."
1455,"No he, he moved out and I moved in.","Well I, I think we'd remember something like that."
1456,Hey no problem.,See ya. Goodbuy you fruit drying psychopath. So you want me to help you unpack your stuff?
1457,"Na, na I'm ok. Oh and uh, just so you know, I'm not movin' back in 'cause I have to. Well, I mean, I do have to. It's just that that place wasn't really, I mean, this is...",Welcome home man.
1458,A little foos?,Absolutely.
1459,What happened to the foosball?,Ah that's a cantelope.
1460,,"Hey look, are we gonna have to bring this out every time Ross comes over?"
1461,He paid a lot of money for it.,"I'm gonna hold him a different way. Look I don't understand, if you hated it so much, why did you buy it in the first place?"
1462,"Well, I had a whole ceramic zoo thing goin' over there but now, without the other ones, it just looks tacky.","So is he housetrained or is he gonna leave little bathroom tiles all over the place? Stay. Good, STAY! Good fake dog."
1463,"Alright, I've got a leg, three breasts and a wing.","Well, how do you find clothes that fit?"
1464,"No, not that one. We're trying to figure out who to bring to the Knicks game tonight, we have an extra ticket.","Yeah, Ross can't go so it's between my friend Eric Prower who has breath issues and Dan with the poking. 'Did you see that play? Do you want some more beer? Is that Spike Lee?'"
1465,"Wow. Well being a huge Knicks fan myself, I think you should take someone who's a huge Knicks fan.","Ok, that's Eric."
1466,C'mon. Keeps his fingers to himself and he's always minty fresh.,"I don't know, Richard's really nice and everything, uh, it's just that we don't know him really well, ya know, and plus he's, ya know, old -er than some people, but, uh, younger than some buildings."
1467,How do we say yes now and make it seem like we're not doin' it just to ride in the cool car?,"Ok, this could be tough."
1468,"Ok ok ok ok. Monica, we'll bring him, but only if he takes the Jaguar.","Ooh, you almost had it."
1469,"Yeah, I talked to my grandma about the Old Yeller incident, and she told me that my mom used to not show us the ends of sad movies to shield us from the pain and sadness. You know, before she killed herself.",Hey.
1470,So'd you guys have fun?,Your boyfriend is so cool.
1471,Really?,"Yeah, he let us drive his Jaguar. Joey for 12 blocks, me for 15."
1472,"Oh, what about that thing he did when he tipped the guy who showed us to our seats. You never even saw the money, it was like this. Hey Chandler, thanks for showing us to our seats .","You're welcome. Hey Joey, thanks for parking the car ."
1473,No problem. Hey Chandler,I think they get it.
1474,Ok.,There's the man.
1475,Look it's the artist formerly known as Chandler.,"Just tryin' somethin' here, ya know."
1476,"Yeah, you really sidestepped that land mine.","Hey listen, we've gotta go, I promised Richard we'd meet him downstairs."
1477,"Yeah, we're goin' to a Ranger game.","Yeah, didn't he tell ya?"
1478,"Well, he told me he was going out with the guys, I just didn't know that you were the guys.",You hear that? We're the guys.
1479,"Phoebe, just watch that, I promise it will resotre all your faith in humanity.","Hey, big guy, game time."
1480,There's a game?,"Uh, yeah, I just got my pick-up sticks back from the shop. Bring your nerves of steel."
1481,,Kick save and... denied.
1482,"Well, we had a table in college.","Oh really, I didn't know they had foosball in the 1800's."
1483,Score! Now can we go?,"See, that's why we don't let her play."
1484,Uh-oh.,"Oh hey listen, don't be mad at him, it's our fault. I'm sorry we've been hoggin so much of his time."
1485,Oh yeah.,No.
1486,Nooooo.,"Your just, your just clearly not familiar with our young persons vernacular. See, when we say dad, we mean buddy. We mean pal."
1487,"Uh-huh, yeah.","No no, seriously, Joey's my dad, Monica's my dad. I've even got some dads down at work."
1488,Nighty-nite.,You're not a dad. You're not a dad.
1489,Not a dad.,I can't believe you got us into trouble.
1490,,"Man, I am so beat."
1491,Oh yeah.,"Hey, you just wanna forget about raquetball and hang out here?"
1492,"Hey, we were sitting there.","Ok, there is one more way to say it, who knows it?"
1493,Is that supposed to be funny?,"No actually, I was just going for colorful."
1494,"Uh, nothing, nothing's with him. Enjoy your coffee.",What just happened?
1495,"I just took your hat. See, I can be funny too. My, my joke is that I, I took your hat.","That, that is funny. Can I have it back?"
1496,No.,No?
1497,"Because it's a special hat. See he bought it 'cause he was feeling really down one day so he got the hat to cheer himself up, ya know. Now Chandler...","Stop talking, stop talking now. Let me just get this straight. You're actually stealing my hat?"
1498,You got a problem with that?,"No, just wanna make sure we're on the same page."
1499,Who said it was for you?,Hhhiiii.
1500,What's the matter with you?,The mean guys at the coffee house took my hat.
1501,Hi.,"Ohhh Oh no, wait a minute, I have no one."
1502,"Hey, woah, let's go down there and get your hat back.","Na, forget it, it's probably stripped and sold for parts by now."
1503,,Hey.
1504,What?,Do you have to be a Century 21 real-estate agent to get to wear those really cool jackets?
1505,This couch belongs to us.,"Alright, I'll tell you what, you call the couch and then, and then we'll call the couch, and we'll see who it comes to."
1506,"Well pal, you didn't give me much of a choice.",Don't play with his things.
1507,The guy that's about to kick your ass talks like that.,You had to ask.
1508,"Well then here's the deal, you won't have to so long as never ever show your faces in this coffee house ever again.",I think you played the Gunther card too soon.
1509,,Your cappucino sir.
1510,Thank you.,Ya know I think this is much better than the coffee house.
1511,How come it's not mixing with the water?,"Well the package says you have to uh, constantly keep it moving. Stir and drink, stir and drink, never let it settle."
1512,"Hey, this is ridiculous. I'll tell you what. After I get back from my neice's christening, I'll go down to the coffee house with you and we'll all have a nice cup of coffee alright. No problem, Joey's there.",Ok.
1513,No.,No?
1514,"No. Man I don't wanna have to have Joey with me every time I wanna descent cup of coffee. Ya know, and I don't wanna spend the rest of my life drinking cappucino with a 'K'. I say you and I go back down there and stand up to those guys.","Alright, hang on a second there Custer."
1515,"No. So what. So what if we get beaten up, maybe that's just something every man has to go through once in his life. Ya know, like a, like a right of passage or somethin'.","Well, couldn't we just lose our virginities again? Ya know, because I think actually mine's growing back."
1516,"Well we did it, we're here. We are standing our ground. How long does a cup of coffee take?",Would you come on! Come on! Thank you.
1517,Would you come on! Come on! Thank you.,"Ah, there we go."
1518,I think we proved our point.,You burn your mouth?
1519,Cannot feel my tounge.,"Bullies, big bullies."
1520,"Yes, and that's why we're here.","Yes, we're standing out ground...apparently."
1521,"It's a nice watch, I don't wanna break it on your ribs.","Alright, let's do this."
1522,Alright.,"Question. If I don't care about my watch, can I use it as a weapon?"
1523,Whad'ya mean?,"Well, it's sharp, it's metal, I think I can do some, you know, serious damage with it."
1524,"No, you can't use your watch.",Ok.
1525,Or your keys.,Ok.
1526,Yeah.,"Ok, so let me just get this straight. So we're uh, strictly talking about the middle?"
1527,"Hey, hey, woah, you want some of this, huh? You want a piece of this, huh? I'm standin here, huh.","Hey, hey, those guys are takin our stuff!"
1528,Yeah he was wasn't he.,"Yeah, I wouldn't know having missed everything."
1529,Alright.,"Ok so, can I have my hat back?"
1530,No.,Huh.
1531,Look at her.,Hi Monica.
1532,Hey nice boobs.,"Guys guys, check this out."
1533,"Joey they're not real. I start miles beneath the surface of these things, ok, they're fake. See honk honk.","Wow, it's, it's like porno for clowns."
1534,"Cause she uh, she steals stuff.",Or maybe she doesn't steal stuff and Joey just slept with her and never called her back.
1535,"Agh, it was the graduation from hell.","Ya know, my cousin went to hell on a football scholarship."
1536,"Well, how bout just her mom?",Why her mom?
1537,"Ok, we're not having birthday cake, we're having birthday flan.",Excuse me?
1538,"I'll never remember all of that. So uh, what's the deal? Rachel comes home, people pop out and yell stuff, is that it?","This isn't your first surprise party, is it sir?"
1539,Chinese menu guy. Forgot the menus.,"So, basically just a Chinese guy."
1540,You thought I was Rachel?,"Yes because uh, you look so young."
1541,"Oh, I missed you kids. Well, should I put my coat in the bedroom?","NO! No, I'll take that for ya."
1542,"Oh my God, oh my God, oh my God.","Ok, think, what would Jack and Chrissy do?"
1543,"So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place.","Uhh, yes, absdolutely, um. Why again?"
1544,Right this is staging.,"Yeah, this more than anything else, is the staging area."
1545,,"Alright you guys are off to party number one and you, you are off to party number two Alright fellas, let's keep it movin', let' keep it movin."
1546,Chandler could you at least send some women to my party? Alright that's Ross.,"Ok, they're coming, shhh."
1547,"Both of them are here, both of them, both of them are here?","Well, we could count again."
1548,That's who.,"Look, are you gonna be ok?"
1549,"Well, I have to be, I don't really have a choice, I mean, you know, I could look at the bright side, I get two birthday parties and two birthday cakes.","Well, actually just one birthday flan."
1550,What?,"It's a traditional Mexican custard dessert...Look talk to Monica, she's on the food committee."
1551,,"Joey, Joey. Hey, some girl just walked up to me and said, 'I want you Dennis,' and stuck her tounge down my throat. I love this party."
1552,Quick volleyball question.,Volleyball.
1553,"Yeah, we set up a court in your room. Uh, you didn't really like that grey lamp, did you?","Joey, a woman just stuck her tounge down my throat, I'm not even listening to you."
1554,Dennis.,"Ok, that's me."
1555,,"Ok, ok, you can be shirts and I'll be skins. I'll be skins. Hey, how you holdin' up there, tiger? Oh, sorry, when my parents were getting divorced I got a lot of tigers. Got a lot of champs, chiefs, sports, I even got a governor."
1556,"This is it, isn't it? I mean, this is what my life is gonna be like. My mom there, my dad there. Thanksgiving, Christmas. She gets the house, he's in some condo my sister's gonna decorate with wicker. Oh, Chandler how did you get through this?","Well, I relied on a carefully regimented program of denial and, and wetting the bed."
1557,"Ya know, I just, so weird. I mean I was in there just listening to them bitch about each other and all I kept thinking about was the fourth of July.",Becasue it reminded you of the way our forefathers used to bitch at each other?
1558,"It's just this thing. Every year we would go out on my dad's boat and watch the fireworks. Mom always hated it because the ocean air made her hair all big. My sister Jill would be throwing up over the side and my dad would be upset becasue nobody was helping and then when we did help he would scream at us for doing it wrong. But then when the fireworks started, everybody just shut up, you know, and it'd get really cold, and we would all just sort of smush under this one blanket. It never occured to anybody to bring another one. And now it's just...","I, I know."
1559,I'm getting ready for the water skiing. How are you doing?,"Well, uh, Dr. Greene, where are you going?"
1560,"Alright, alright, I can get my own coat.","Sorry, we're on a major flan high."
1561,"Ok everybody, it's time for flan.","Yup, get ready for the gelatenous fun."
1562,"Oh, I ordered mine first.","Yeah, but I'm, I'm so much faster..."
1563,Give it to me.,No.
1564,Give it to me.,"Ok, you can have it."
1565,"There you go, enjoy your coffee.",That was there when I got here.
1566,Had it.,Had it.
1567,,"Hey, look Joey, I'm just saying if you need something to hold you over, I can get you a job right here as an entry level processor."
1568,But don't you need experience for a job like that?,"It's not that hard to learn. And as for people realizing you have no idea what you're doing, hey, you're an actor. Act like a processor, people will think you're a processor."
1569,"Hey Chandler, here's this morning's projections.","Hey thanks. Scott Alexander, Joey Tribbianni. Joey is a uh, fellow processor."
1570,"Uhh, well, right now I'm in between things. You know how it is. One day you're processing, the next day you're not so much... processing any more.",I was just telling Joey about the opening in Fleischman's group.
1571,Hey.,"Hey, how's the first day goin'?"
1572,Pretty good. It's like you said. It's mostly just putting numbers from one column into another column.,Well there you go.
1573,"Hey and everbody is so nice. I just had a good talk with that lady with the red hair, Jeannie.","Jeannie, the head of east coast operations Jeannie?"
1574,"Yeah, turns out our kids go to the same school. Small world huh?",Weird world. Your kids?
1575,I figure my character has kids.,Ya know there isn't a part of that sentence I don't need explained.
1576,"Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two little girls, Ashley and Brittany. Ashley copies everything Brittany does.","Well, invisible kids can be that way sometimes."
1577,"Yeah. Joseph and his wife, Karen, are thinking of having a third kid... Ya know what? Just did.",Really? Wow. That's some pretty powerful imaginary sperm you must have there.
1578,What a phony.,"Well, I'm sure you'll teach her a lesson when she steps off the dock onto nothing. Hey Mr. Douglas."
1579,"Uh, listen Bing, I received your memo. So, we're not gonna receive the systems report until next Friday?",Well the people in my group wanna spend the holiday weekend with their families.
1580,"Yeah Bing, what's that about?","It's about cutting my people a little slack, ya know, for morale. Look, if you wanna see some rough numbers, I can get them to you by Wednesday."
1581,Have the final numbers on my desk by Tuesday.,"Uh, if you say so sir."
1582,"Joseph's good, isn't he?","Well, I'm going to kill you."
1583,"Hey, hey, I just figure Joseph's the kinda guy that likes to mix it up. Ya know, get in there, ruffle some feathers.",Why?
1584,Hey. Mr. Douglas is looking for you.,Why? Wh- wh- why is Mr. Douglas looking for me?
1585,'Cause he has a strong suspicion that you dropped the ball on the Lender project.,"Wha- wh- why, why, why does he suspect that?"
1586,"Becasue at first he thought it was Joseph. But after he asked Joseph about it, turns out it was you. Anyway, I just thought you should know.","Alright, that's it. Look Joey, I'm sorry, I realize this is the role of a lifetime for ya, and if I could just fire Joseph, I would, but unfortunately that's not possible so I'm gonna have to let both of you go."
1587,"What're you talking about, everybody loves Joseph.","I don't, I hate Joseph, ok. I think he's a brown-nosing suck up."
1588,"Oh yeah. Well you can't fire Joseph. You know why, 'cause he's not in your department.","Alright, ok, alright. So I can't fire Joseph but uh, I can sleep with his wife."
1589,Karen.,"Yeah, Karen. I'm thinking about having an affair with her. Oh, you know what? I just did."
1590,Ahh. What the hell are you doing to me man.,"Oh well it's not me, it's my character, Chandy. Yeah the rogue processor who seduces his co-worker's wives for sport and then laughs about it the next day at the water cooler. In fact, I have her panties right there in my drawer."
1591,Really?,"No freakshow, she's fictional."
1592,"Take it easy. If it means that much to you, I'll uh, I'll go find something else.",Thank you.
1593,"Yeah, there's just one thing that might be kind've a problem. See, I, uh, had to kiss this guy.",'Cause he was just so darn cute.
1594,,"Hey, what did your agent say?"
1595,Over my dead body!,And I'll be using his dead body as a shield.
1596,Ooh-oh! Someone's wearing the same clothes they had on last night. Someone get a little action?,I may have.
1597,What's she look like?,"Well, we haven't exactly met, we just stayed up all night talking on the internet."
1598,"Woo-hoo, geeek!","I like this girl, okay, I seriously like this girl, you now how sometimes I tend get a little defended and quipy..."
1599,Please!,"Well she totally called me on it, okay. She said, 'cut it out, get real', and I did."
1600,Wow! What's that like?,"It's like this, me, no jokes."
1601,Could not be more terrified.,"Well, I think you should seriously consider the marriage thing, give Rachel another chance to dress up like Princess Bubble Yum."
1602,"Come on, Chandler, I want this part soo much. Just one kiss, I won't tell anyone.","Joey, no means no!"
1603,Hey!,"I'm sorry we, we don't have your sheep."
1604,"So how's your date with your cyberchick going. Ooh, hey, what is all that .","Oh, it's a website, it's the, uh, the Guggenheim museum. See, she likes art, and I like funny words."
1605,What does she mean by HH?,It means we're holding hands.
1606,Are you the cutest?,I'm afraid I might just be.
1607,"You know, what I think is so great that you are totally into this person and yet for all you know she could be like 90 years old, or have two heads, or. It could be a guy.","Okay, it's not a guy, all right, I know her."
1608,"Oh, well. Just ask her how long she's gonna live. Women live longer than men.",How do you not fall down more?
1609,"Okay, ask her 'What is her current method of birth control?'","""All right. """"My husband is sleeping with his secretary."""" She's married!"""
1610,Well at least we know she's a woman.,I can't believe she's married.
1611,"Aren't you gonna answer her, that's like the tenth bing-bong message she sent. She wants to know what's wrong?",What's wrong? What's wrong? You're married that's what's wrong.
1612,"Oh, my.",What?
1613,She wants to meet you in person.,"Hey, look, Phoebe I wanted to meet her in person too, okay, but she's married, she has a husband."
1614,"What if the husband person is the wrong guy, and you are the right guy. I mean you don't get chances like this all the time, if you don't meet her now, you're gonna be kicking yourself when your 80, which is hard to do, and that's how you break a hip.","Okay, I'll do it!"
1615,,"Where is she, Where is she? Oh, hey, I have a question, where is she?"
1616,"Chandler, relax, Chandler, she'll be here.","Ooh, oh, oh, that's her."
1617,"Chandler, you gotta stop staring at the door. It's like a watched pot, you know if you keep looking at it then the door is to, never gonna boil. I think what you have to do is try not to...",Oh my God!
1618,"Did not, she did not wink at you....",Huh.
1619,,Morning.
1620,"Morning, hey, you made pancakes?","Yeah, like there's any way I could ever do that."
1621,Good morning.,"Hey, you know what, here's a thought. Why don't you stay home from work today and just hang out with me."
1622,"Oh, I wish. Look, honey, you have that report to finish, and I gotta go see my lawyer.",I can not believe that I am going out with someone that is getting divorced. I'm such a grown up.
1623,"I-I-I gotta go, I gotta go. Okay, not without a kiss.","Well, maybe I won't kiss you, and then you'll have to stay."
1624,B-bye Janice. So when ya' dumpin' her.,"Nope, not this time."
1625,"Come on, quite yankin' me.",I'm not yanking you.
1626,This is Janice.,"Yeah, I know. She makes me happy."
1627,"Okay. All right. You look me in the eye and tell me, without blinking, that you're not breaking up with her. No blinking.",I'm not breaking up with her!
1628,,Hey!
1629,Wheel!,Of!
1630,Fortune! This guy is so stupid. It's Count Rushmore!!,"You know, you should really go on this show. All right, listen, I got three tickets to the Rangers tonight. What'd ya' say?"
1631,"I say, 'I am there!' Cool! Aw, is Ross going to?","No, Janice."
1632,"Jan-ice. 'Cause I, just, I feel bad for Ross, you know, we-we always go together, we're like the three hocke-teers.","You know, I may be way out on a limb here, but do you, do you, have a problem with Janice?"
1633,"No, Yeeees. God, how do I say this. . Oh, hi, you know that girl from the Greek restaurant with the hair ?","Ooh, that girl that I hate, eww, drives me crazy, eww, eww, oh!"
1634,"Look, I don't hate Janice, she's-she's just a lot to take, you know.","Well, there you go."
1635,"Oh, hey. Come on man, don't look at me like that, she used to drive you nuts before too, remember?","Well, I'm crazy about her now. I think this could be the real thing. Capital 'R'! Capital 'T'! Don't worry, those are the right letters."
1636,"Look, what do you want me to say?",I want you to say that you like her!
1637,"I can't. It's like this chemical thing, you know. Every time she starts laughing, I just wanna pull my arm off just so that I can have something to throw at her.","Thanks for trying. Oh, and by the way there is no Count Rushmore!"
1638,Women tell each other everything. Did you know that?,"Umm, yeah."
1639,"No Chandler, everything! Like stuff you like, stuff she likes, technique, stamina, girth....","Girth? Why, why, why, wh-why, why, why, why would they do this?"
1640,"Rachel says sharing's great and supposedly, you know, we outta be doing it. Do you wanna?",We're not gonna talk about girth are we?
1641,Nooo!,"Yeah, okay."
1642,Yeah?,Yeah! All right! You go first.
1643,"Okay, okay, I'll go first.",Okay.
1644,"So, uh, the other night Rachel and I are in bed talking about fantasies, and I happened to describe a particular Star Wars thing....",Princess Leia in the gold bikini.
1645,Yes!,I know!
1646,"Yes! Wow, well, that-that was easy. Okay, you-you go.",Okay.
1647,Okay.,"Okay, you know, you know when your in bed, with a woman."
1648,Hmph.,"And, ah, you know, your fooling around with her. And you get all these like, mental images in your brain, you know, like Elle MacPherson, or that girl at the Xerox place...."
1649,"With the belly-button ring? Oh, muhawa!","I know, And then all of the sudden your Mom pops into your head. And your like 'Mom, get outta here!' You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing. So it's kinda like, you're, you know. You know.... You don't know!"
1650,"Your Mom, your telling me, your telling me, about your Mom, what is the matter with you?",You said...
1651,Hey!,What are you guys doing together?
1652,Joey and Janice's DAY OF FUN!!!,Really.
1653,"I just came by to give you a kiss, I have to go pick up the baby, so. I'll see you later sweetheart, you too Chandler.",You still can't stand her can you?
1654,"I'm sorry man, I tired, I really did.","Well, you know, I appreciate you giving it a shot."
1655,"But, hey, look, you know the good thing is, is that we spent the whole day together and I survived, and what's even more amazing, so did she. It was bat day at Shea Stadium.","Well, I guess that's something."
1656,"No man, that's huge! Now, I know I can stand to be around her, which means I get to hang out with you, which is kinda the whole point, anyway.",Okay.
1657,"Oh, hey, Chandler, we, ah, we stopped by the coffee shop and ran into Ross.",Oh God!
1658,"Hey, if it makes you feel any better, I do it too.",Really?
1659,"All right they got water, orange juice, and what looks like cider.",Taste it.
1660,"Yep, it's fat. I drank fat!","Yeah, I know, I did that two minutes ago."
1661,Hey!,"Hey, mister tux!"
1662,"Well, you know, I'd feel a whole lot better if you got dressed now.",Okay.
1663,"Ohh, well, you're my lucky penny.","All right, I took the quiz, and it turns out, I do put career before men. Get up."
1664,What?,You're in my seat.
1665,How is this your seat?,'Cause I was sitting there.
1666,But then you left.,"Well, it's not like I went to Spain. I went to the bathroom, you knew I was coming back."
1667,"What's the big deal, sit somewhere else.","The big deal is I was sitting there last, so, that's my seat."
1668,"You guys, you know what, you know what, it doesn't matter, because you both have to go get dressed before the big vain in my head pops. So..","All right, Ross, I just have to do one thing, really quickly, it's not a big deal. GET UP!!"
1669,"Uh, no. Wait, you know what, this is the outfit that makes my calves look fat. Nevermind.","Well, Joey, I wrote a little song today. It's called Get Up."
1670,All right! You can have the chair.,Really!
1671,"What if it's new? I mean, we agreed not to talk again, unless we had something really important to say. Shouldn't I call him back?","Honey, you did call him back. 'Cause, it's, it's really old."
1672,"I.....got.....dressed. Really, really quickly. Okay, okay. There we go, there we go.","You know what, okay, fine. Don't get up, you just sit right there. I just hope, you don't mind, you know, my hand right here. Op, not touching, can't get mad! Not touching can't get mad! Not touching can't get mad!"
1673,Ah! Oh my God! You r-r-rotten boys!,Sorry Phoebe.
1674,"Okay, thanks. Yeah, I'll try that.",Maybe he's calling to say your obsessive and crazy.
